symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
MA,WMT,1510,0.28967518818474625,0.28967518818474625,-2.3237244413198783,0.3617761575754162,-2.3229886192734197,0.16466083440753526,-1.1495995685216762,1.8872199217936485,0.795614344155707,103.45295232238212,1.5146449345370807,False,True
BAC,MA,1510,0.4790778726009611,0.4790778726009611,-2.169809560996481,0.4399822765853162,-2.169087182975276,0.21765567036717148,-0.3128205429253219,0.6578178728820987,0.828445685165042,125.82570395372142,1.4978727041768112,False,True
CVX,HD,1510,0.35188278851208415,0.35188278851208415,-2.248465668197021,0.39952968806163425,-2.2478230868083013,0.18934826383088116,2.9780433578581498,0.2802942700896283,0.3925603357821771,113.54769521163537,1.4730724049666701,False,True
LOW,TGT,1510,0.41616751526745904,0.41616751526745904,-2.1498159273207786,0.45037280391633794,-2.1494164742737185,0.22511351694440718,0.31929749244787153,0.9648603361350878,0.5705763529562085,145.17304345792337,1.4101937848131307,False,True
GS,HD,1510,0.4630933831433505,0.4630933831433505,-2.0891829315798165,0.48202268785454655,-2.088497612996426,0.24916485210954908,3.5005549024523885,0.33744815625702446,0.4761907200330213,120.88817222430895,1.3835391235269145,False,True
HD,WMT,1510,0.38088166962029907,0.38088166962029907,-2.1427607291557487,0.45404647344385557,-2.1424968552937402,0.2277731368707548,0.6974407032753351,1.2770833261049115,0.6007560962262808,181.9992087855154,1.366278859837836,False,True
HD,KO,1510,0.3177153893359066,0.3177153893359066,-2.1832621148733673,0.43301093471571556,-2.1800260877202056,0.2135745321084369,-3.3953210606424804,2.3223877705240796,0.8340628663653928,67.55506715048163,1.3516670621162692,False,True
BAC,V,1510,0.47733935213867085,0.47733935213867085,-2.028432634611022,0.5137701977353375,-2.0278218167399187,0.27450898397302503,-0.40183952338348883,0.7251796240768826,0.7954331990144599,146.35440425761928,1.3280138812349085,False,True
BAC,KO,1510,0.19394007114726755,0.19394007114726755,-2.238058083274281,0.40483334246757735,-2.2373655191468815,0.1929644148529534,-3.5794134533270436,1.8371851387019436,0.6060182828690751,133.05300616038437,1.3011865700843774,False,True
GS,MA,1510,0.5107731401830382,0.5107731401830382,-1.9614629779396389,0.54854266788489,-1.9608206011715374,0.304011569851211,3.9255541563938476,0.2435697469996852,0.4090869598093082,137.28204459664857,1.2886726137763904,False,True
GS,V,1510,0.5186386105145007,0.5186386105145007,-1.9416459855203707,0.5587456213164532,-1.941002180577666,0.3130248973978841,3.8604522614491343,0.27570869117034663,0.41412331743548014,138.98583226940156,1.2758455958994988,False,True
V,WMT,1510,0.28458735598727974,0.28458735598727974,-2.133552944673092,0.4588457072912141,-2.1337268662149693,0.23117083535603683,-0.5726357699121882,1.6014887247069352,0.7251795109907133,126.67143881968062,1.2589876405831248,False,True
BAC,WMT,1510,0.21560529220806807,0.21560529220806807,-2.1858744820533884,0.43165926041245545,-2.1851824955127386,0.21166724213765276,-1.1542139252114278,1.268516909824991,0.6881811991368826,114.86923605930149,1.2548105786015098,False,True
JPM,LOW,1510,0.441893391983079,0.441893391983079,-1.9936314630815397,0.5318869282268055,-1.9929805242432435,0.2896593508597828,-0.23452279572277313,1.0459848881255651,0.7901967809089805,132.8623106268759,1.2541865217798325,False,True
BAC,PEP,1510,0.1898539855537485,0.1898539855537485,-2.196973315444245,0.425924856946143,-2.1965635098400793,0.20749506801172057,-3.622130861632002,1.4778740647484179,0.6497639474777575,135.77504876415168,1.2435132209977977,False,True
JPM,WMT,1510,0.28382818364242424,0.28382818364242424,-2.1168621622474726,0.4675564007413637,-2.1162248554139342,0.23804075099548633,0.09249035042824794,1.2850999568272543,0.6976281176691594,134.06912756993583,1.237342865124094,False,True
KO,TGT,1510,0.1999517761957512,0.1999517761957512,-2.1703344242064566,0.4397099614831562,-2.1697400665839846,0.21741075818011363,1.6933131763975902,0.44985182464892615,0.5051129633052085,111.90930505656539,1.2195044411044584,False,True
GS,LOW,1510,0.42284602757225354,0.42284602757225354,-1.9364895811948108,0.5613920817257299,-1.9358516043642968,0.31538781336550337,3.47986538458363,0.3857991151817453,0.3919974642949685,140.44741335735728,1.1747348367194173,False,True
