zscore_lookback,entry_zscore,exit_zscore,stop_zscore,maximum_holding_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,trade_win_rate,profit_factor,total_turnover
40,2.5,0.25,3.5,60,0.09873617521764855,0.01583542659291015,0.08645372350583884,0.2245661855843911,0.2267787940396542,-0.13881739463862586,27,0.5185185185185185,1.396661077730479,54.0
60,2.0,0.0,4.0,20,0.09226082905106203,0.014834029939824633,0.08677302477611179,0.2126177487785139,0.21991593757854114,-0.14219185868279294,30,0.4666666666666667,1.2747134354114178,60.0
60,2.0,0.25,4.0,40,0.09854630814887377,0.01580613416938892,0.09729904625997766,0.20933224471863743,0.25329369336722257,-0.13935789578193358,26,0.5,1.3399332666252253,52.0
60,1.5,0.25,4.0,60,0.10388340935806784,0.016627932274090096,0.10879221622883824,0.20554343312300355,0.26825600926915827,-0.1215159447693388,34,0.5882352941176471,1.3098887489859516,68.0
40,2.5,0.25,3.5,40,0.08734074075896858,0.014069838031934623,0.08580918008801883,0.20533169167140472,0.2050063307081724,-0.11622672122207744,28,0.5,1.3268177205848,56.0
60,1.5,0.25,3.5,60,0.09961994993104084,0.015971718633083887,0.10871450160777324,0.19967186311932186,0.2601829548483829,-0.12794104065184742,38,0.5263157894736842,1.2852916051273293,76.0
40,2.5,0.5,3.5,40,0.07941389877935534,0.012832553318718354,0.0805711935564956,0.19812292581529284,0.18893676189823772,-0.13186948029176104,28,0.5714285714285714,1.3075197943459225,56.0
40,2.5,0.25,4.0,60,0.08392290799988755,0.013537280090101245,0.08670428784201624,0.19804022283882752,0.20041861775170805,-0.14104179222240742,22,0.5,1.362769641623267,44.0
40,2.5,0.5,4.0,60,0.07942929720841141,0.012834964156252626,0.08103104090194717,0.19748615742202677,0.1891120125468692,-0.13411182403909505,23,0.5652173913043478,1.3845024180174796,46.0
60,1.5,0.0,4.0,20,0.08476964418762378,0.013669346579849417,0.09953668678337459,0.1857379387210781,0.2205715536886845,-0.14974770357416534,44,0.5227272727272727,1.1956013257243976,88.0
40,2.5,0.25,4.0,40,0.072311856825507,0.011717563649654261,0.08572625874437978,0.17835231171449217,0.17793124626648063,-0.1185094695424509,23,0.5217391304347826,1.2935792383302724,46.0
60,2.0,0.0,3.5,20,0.06909689469901581,0.011210804530184637,0.08708477762393296,0.17108994638901726,0.17720687169975446,-0.13380321563085895,34,0.4411764705882353,1.2024905195422606,68.0
40,2.5,0.5,4.0,40,0.06486113635845969,0.010541200281201535,0.08083961251270118,0.16971078590621083,0.1621304943219151,-0.13411182403909605,23,0.5652173913043478,1.308510016883553,46.0
60,2.0,0.25,3.5,40,0.07130364851759485,0.011558780987085404,0.09765473516626533,0.1660120363252266,0.19965595679530185,-0.1316022071430446,30,0.43333333333333335,1.2362970566066422,60.0
60,2.0,0.5,4.0,60,0.06801093626438681,0.011039343218279818,0.09608586184006827,0.16184917144731273,0.19559081085746072,-0.12794015269284864,26,0.5384615384615384,1.2847039345499176,52.0
60,2.0,0.5,3.5,60,0.06388602483281147,0.010386736903273075,0.09599767708708476,0.1551820735878751,0.1870615659035906,-0.12426894779079245,30,0.5,1.2497300261993867,60.0
60,1.5,0.0,3.5,20,0.0617645778548086,0.010050279397288309,0.09980858559950712,0.1496623130457669,0.1780392395827337,-0.148626451676091,48,0.5,1.146533876870736,96.0
60,2.0,0.25,4.0,20,0.05417438280227982,0.008841883624370439,0.08512975859281434,0.1454912775229139,0.14775606564052374,-0.16177285848087763,30,0.4666666666666667,1.1809431256899687,60.0
60,1.5,0.25,4.0,20,0.04897221905004345,0.008009480523626378,0.09646229509030252,0.13049938531226793,0.14789967926782416,-0.14974770357416578,45,0.5333333333333333,1.1295880296403413,90.0
60,1.5,0.25,4.0,40,0.031501523361074035,0.005188572997573804,0.10394743158952782,0.10129957020464365,0.12432096332387853,-0.12155830341666451,35,0.5714285714285714,1.110106154794631,70.0
60,2.0,0.25,3.5,20,0.026906863346426668,0.004440088484841009,0.08542446466997122,0.09408691508766967,0.09566009505256691,-0.157604551573564,34,0.4411764705882353,1.1053393458441751,68.0
